Alpha,train_score,test_score
1.69,0.605692781437393,0.604341901525298
1.7,0.6056919302671657,0.6043413454669457
1.71,0.6056910748698554,0.6043407857403574
1.72,0.6056902152537389,0.6043402223528322
1.73,0.6056893514270776,0.6043396553116549
1.74,0.6056884833981154,0.6043390846240952
1.75,0.6056876111750804,0.6043385102974088
1.76,0.6056867347661838,0.6043379323388363
1.77,0.6056858541796208,0.6043373507556031
1.78,0.60568496942357,0.6043367655549214
1.79,0.6056840805061942,0.6043361767439878
1.8,0.605683187435639,0.6043355843299847
1.81,0.6056822902200345,0.6043349883200801
1.82,0.6056813888674945,0.6043343887214276
1.83,0.6056804833861165,0.6043337855411661
1.84,0.605679573783982,0.6043331787864203
1.85,0.6056786600691559,0.6043325684643008
1.86,0.6056777422496882,0.6043319545819037
1.87,0.6056768203336116,0.6043313371463103
1.8800000000000001,0.6056758943289434,0.6043307161645883
1.8900000000000001,0.6056749642436849,0.6043300916437913
1.9000000000000001,0.6056740300858219,0.604329463590958
1.9100000000000001,0.6056730918633236,0.6043288320131137
1.92,0.6056721495841437,0.604328196917269
1.93,0.6056712032562201,0.6043275583104206
1.94,0.6056702528874748,0.6043269161995515
1.95,0.6056692984858143,0.6043262705916298
1.96,0.6056683400591291,0.6043256214936106
1.97,0.6056673776152943,0.6043249689124341
1.98,0.6056664111621692,0.6043243128550276
1.99,0.6056654407075975,0.6043236533283034
2.0,0.6056644662594074,0.6043229903391607
2.0100000000000002,0.6056634878254115,0.6043223238944846
2.02,0.605662505413407,0.6043216540011462
2.0300000000000002,0.6056615190311756,0.6043209806660033
2.04,0.6056605286864833,0.6043203038958991
2.05,0.6056595343870812,0.6043196236976641
2.06,0.6056585361407048,0.6043189400781146
2.07,0.6056575339550738,0.604318253044053
2.08,0.6056565278378936,0.6043175626022683
2.09,0.6056555177968534,0.6043168687595362
2.1,0.6056545038396279,0.6043161715226182
2.11,0.605653485973876,0.6043154708982628
2.12,0.6056524642072418,0.6043147668932047
2.13,0.6056514385473541,0.6043140595141654
2.14,0.6056504090018269,0.6043133487678525
2.15,0.6056493755782584,0.6043126346609604
2.16,0.6056483382842328,0.6043119172001701
2.17,0.6056472971273184,0.6043111963921495
2.18,0.6056462521150692,0.6043104722435528
2.19,0.6056452032550238,0.6043097447610208
2.2,0.6056441505547061,0.6043090139511818
2.21,0.6056430940216253,0.6043082798206496
2.22,0.6056420336632753,0.6043075423760258
2.23,0.6056409694871356,0.6043068016238984
2.24,0.6056399015006708,0.6043060575708423
2.25,0.6056388297113309,0.6043053102234195
2.2600000000000002,0.605637754126551,0.6043045595881784
2.27,0.6056366747537514,0.6043038056716546
2.2800000000000002,0.605635591600338,0.6043030484803709
2.29,0.6056345046737022,0.6043022880208366
2.3000000000000003,0.6056334139812205,0.6043015242995483
2.31,0.6056323195302553,0.6043007573229897
2.32,0.6056312213281538,0.6042999870976312
2.33,0.6056301193822493,0.6042992136299308
2.34,0.6056290136998606,0.6042984369263333
2.35,0.6056279042882917,0.6042976569932706
2.36,0.6056267911548326,0.6042968738371621
2.37,0.605625674306759,0.6042960874644141
2.38,0.6056245537513316,0.6042952978814202
2.39,0.6056234294957976,0.6042945050945615
2.4,0.6056223015473896,0.6042937091102061
2.41,0.605621169913326,0.6042929099347094
2.42,0.6056200346008109,0.6042921075744146
2.43,0.6056188956170343,0.6042913020356517
2.44,0.6056177529691721,0.6042904933247384
